*YYYYMMDD,HHMMSS,JJJJJ.JJJJ,X,Y,Z,Sx,Sy,Sz,Rxy,Rxz,Ryz,NLat,Elong,Height,dN,dE,dU,Sn,Se,Su,Rne,Rnu,Reu,Soln
20010424,120000,52023.5,-2485778.316,-3284087.071,4853826.818,0.00339,0.00429,0.00496,0.838,-0.793,-0.842,49.87305323,232.8773353,164.69131,-0.03273,-0.04288,-0.0294,0.00208,0.00151,0.00693,0.032,-0.356,0.015,repro
20010425,120000,52024.5,-2485778.317,-3284087.073,4853826.82,0.00303,0.00387,0.0045,0.837,-0.793,-0.837,49.87305323,232.8773353,164.69423,-0.03312,-0.04227,-0.02648,0.00188,0.00136,0.00625,0.01,-0.338,0.024,repro
20010426,120000,52025.5,-2485778.315,-3284087.069,4853826.816,0.00333,0.00426,0.00487,0.84,-0.801,-0.847,49.87305324,232.8773353,164.68784,-0.03218,-0.04358,-0.03286,0.00203,0.00148,0.00683,0.008,-0.376,0.032,repro
20010427,120000,52026.5,-2485778.315,-3284087.068,4853826.815,0.00336,0.00431,0.00495,0.843,-0.803,-0.849,49.87305324,232.8773353,164.68726,-0.03204,-0.04374,-0.03344,0.00204,0.00148,0.00693,0.01,-0.37,0.033,repro
20010428,120000,52027.5,-2485778.318,-3284087.072,4853826.817,0.00333,0.00431,0.00488,0.845,-0.799,-0.843,49.87305321,232.8773353,164.69215,-0.03491,-0.04384,-0.02855,0.00207,0.00147,0.00686,-0.006,-0.381,0.049,repro
20010429,120000,52028.5,-2485778.321,-3284087.075,4853826.821,0.00346,0.00446,0.00511,0.844,-0.801,-0.845,49.87305321,232.8773352,164.69749,-0.03576,-0.04459,-0.02322,0.00213,0.00152,0.00715,0.003,-0.367,0.039,repro
20010430,120000,52029.5,-2485778.318,-3284087.072,4853826.817,0.00371,0.00464,0.00546,0.831,-0.794,-0.838,49.87305321,232.8773353,164.69182,-0.03528,-0.04388,-0.02888,0.00225,0.00168,0.00756,0.029,-0.331,-0.008,repro
20010501,120000,52030.5,-2485778.316,-3284087.07,4853826.814,0.00321,0.00415,0.00478,0.841,-0.8,-0.843,49.87305322,232.8773353,164.68742,-0.03431,-0.04339,-0.03328,0.00198,0.00143,0.00666,-0.006,-0.354,0.044,repro
20010502,120000,52031.5,-2485778.309,-3284087.063,4853826.804,0.00425,0.00574,0.00668,0.861,-0.846,-0.88,49.87305323,232.8773353,164.67351,-0.03358,-0.0424,-0.04719,0.00237,0.00181,0.00932,-0.074,-0.376,0.112,repro
20010503,120000,52032.5,-2485778.313,-3284087.068,4853826.812,0.00305,0.00394,0.00456,0.842,-0.797,-0.844,49.87305323,232.8773353,164.68374,-0.03282,-0.04235,-0.03696,0.00188,0.00135,0.00634,0.001,-0.348,0.048,repro
20010504,120000,52033.5,-2485778.316,-3284087.071,4853826.817,0.00333,0.00414,0.00494,0.841,-0.793,-0.844,49.87305323,232.8773353,164.69041,-0.03306,-0.04305,-0.03029,0.00201,0.00146,0.00681,0.06,-0.319,-0.011,repro
